DATE,Actual,Forecast
2017-08-01,213.963,211.88641818010683
2017-09-01,217.721,211.36382677015263
2017-10-01,215.739,210.4941541467847
2017-11-01,217.308,209.30628605843808
2017-12-01,216.57,208.20924555240745
2018-01-01,218.953,208.23264493717969
2018-02-01,220.948,208.86356512832052
2018-03-01,221.23,210.59375024858772
2018-04-01,223.951,211.95483957850416
2018-05-01,227.168,213.0746880473934
2018-06-01,227.727,213.17652118161578
2018-07-01,227.04,212.52981406315922
2018-08-01,226.304,211.82814088687746
2018-09-01,225.634,211.3163697919066
2018-10-01,226.524,210.47088513682692
2018-11-01,223.133,209.31946102556424
2018-12-01,218.178,208.25537974751634
2019-01-01,216.44,208.2686302437535
2019-02-01,218.068,208.86603247370562
2019-03-01,222.352,210.5204063840809
2019-04-01,227.34,211.81989928794573
2019-05-01,228.634,212.88744576377889
2019-06-01,226.371,212.9761645299064
2019-07-01,226.467,212.34516024122556
2019-08-01,224.151,211.66131573611673
2019-09-01,222.706,211.16007569438955
2019-10-01,223.786,210.33797516235506
2019-11-01,223.175,209.22171937986016
2019-12-01,222.05,208.1894556421563
2020-01-01,222.128,208.19307437931235
2020-02-01,221.771,208.75837496211966
2020-03-01,217.537,210.33998143489399
2020-04-01,207.022,211.5803745017265
2020-05-01,204.298,212.5977577440292
2020-06-01,208.666,212.67399266976983
2020-07-01,213.844,212.05821259997063
2020-08-01,215.166,211.39163620051895
2020-09-01,215.329,210.90064734223103
2020-10-01,215.839,210.10115628503982
2020-11-01,215.936,209.01884053878948
2020-12-01,216.671,208.01729485626527
2021-01-01,218.617,208.01177733073587
2021-02-01,221.896,208.54633634536572
2021-03-01,228.412,210.05810028902266
2021-04-01,234.795,211.24179230368878
2021-05-01,241.607,212.21106704043916
2021-06-01,249.078,212.2754226663665
2021-07-01,250.963,211.674404903223
2021-08-01,249.714,211.02455589847696
2021-09-01,248.059,210.5435474081329
2021-10-01,252.401,209.76591927479572
2021-11-01,256.84,208.7163608293867
2021-12-01,257.539,207.74447431897093
2022-01-01,259.322,207.73029525031657
2022-02-01,264.182,208.23541872847153
2022-03-01,275.861,209.6801507856611
2022-04-01,278.838,210.80944651636528
2022-05-01,286.653,211.73258670143724
2022-06-01,296.867,211.78564260463918
2022-07-01,291.11,211.1989413155048
2022-08-01,282.702,210.5652981085107
2022-09-01,279.294,210.09400789996508
2022-10-01,281.674,209.33752317887672
2022-11-01,279.029,208.31958312624744
2022-12-01,270.857,207.37633596784485
2023-01-01,273.123,207.35395012173896
2023-02-01,275.121,207.83089215114927
2023-03-01,277.584,209.21129311939077
2023-04-01,282.907,210.28840695908767
2023-05-01,284.187,211.16730890401226
2023-06-01,285.683,211.20962068202329
2023-07-01,286.371,210.63680551824498
2023-08-01,290.501,210.01886491365843
2023-09-01,289.486,209.5570393173411
2023-10-01,287.132,208.82100451884017
2023-11-01,284.129,207.83358611474
2023-12-01,280.128,206.91799607102493
2024-01-01,279.272,206.8878390502117
2024-02-01,283.92,207.33780379666567
2024-03-01,289.982,208.6564688786059
2024-04-01,294.368,209.6835283459581
2024-05-01,294.296,210.5200137308448
2024-06-01,291.156,210.55211394739476
2024-07-01,290.962,209.9927694713296
2024-08-01,289.149,209.39004599012523
2024-09-01,287.673,208.9374394519863
2024-10-01,287.705,208.22118612975322
2024-11-01,286.474,207.26323319391457
2024-12-01,285.654,206.37435418677245
2025-01-01,288.234,206.33684319127045
2025-02-01,288.651,206.7609868425143
2025-03-01,287.607,208.02040973230527
2025-04-01,290.164,208.99945883759656
2025-05-01,290.742,209.79527760586865
2025-06-01,290.848,209.81767669992178
2025-07-01,290.826,209.27140183369096
2025-08-01,291.362,208.68342705393147
2025-09-01,291.913,208.23980184565946
2025-10-01,291.913,207.54268565546235
2025-11-01,290.485,206.61318103302816
2025-12-01,286.648,205.75010177446944
2026-01-01,285.936,205.70563633220814
2026-02-01,288.065,206.10506896672652
2026-03-01,301.507,207.30764577883332
